fqn,cmos_item,image_link
SHAPE/Trench,T36QF,http://www.neimanmarcus.com/product_assets/T/3/6/Q/F/NMT36QF_mk.jpg
STYLE/Coats,T36QF,http://www.neimanmarcus.com/product_assets/T/3/6/Q/F/NMT36QF_mk.jpg
SHAPE/Trench,B1P24,http://www.neimanmarcus.com/product_assets/B/1/P/2/4/NMB1P24_mk.jpg
STYLE/Coats,B1P24,http://www.neimanmarcus.com/product_assets/B/1/P/2/4/NMB1P24_mk.jpg
STYLE/Coats,B1PVY,http://www.neimanmarcus.com/product_assets/B/1/P/V/Y/NMB1PVY_mk.jpg
SHAPE/Trench,B1YAV,http://www.neimanmarcus.com/product_assets/B/1/Y/A/V/NMB1YAV_mk.jpg
STYLE/Coats,B1YAV,http://www.neimanmarcus.com/product_assets/B/1/Y/A/V/NMB1YAV_mk.jpg
STYLE/Coats,B24BM,http://www.neimanmarcus.com/product_assets/B/2/4/B/M/NMB24BM_mk.jpg
SHAPE/Quilted,B24BM,http://www.neimanmarcus.com/product_assets/B/2/4/B/M/NMB24BM_mk.jpg
SHAPE/Trench,B276K,http://www.neimanmarcus.com/product_assets/B/2/7/6/K/NMB276K_mk.jpg
STYLE/Coats,B276K,http://www.neimanmarcus.com/product_assets/B/2/7/6/K/NMB276K_mk.jpg
SHAPE/Trench,B276L,http://www.neimanmarcus.com/product_assets/B/2/7/6/L/NMB276L_mk.jpg
STYLE/Coats,B276L,http://www.neimanmarcus.com/product_assets/B/2/7/6/L/NMB276L_mk.jpg
STYLE/Coats,B286G,http://www.neimanmarcus.com/product_assets/B/2/8/6/G/NMB286G_mk.jpg
SHAPE/Quilted,B286G,http://www.neimanmarcus.com/product_assets/B/2/8/6/G/NMB286G_mk.jpg
STYLE/Coats,B286J,http://www.neimanmarcus.com/product_assets/B/2/8/6/J/NMB286J_mk.jpg
SHAPE/Cashmere & Wool,B286J,http://www.neimanmarcus.com/product_assets/B/2/8/6/J/NMB286J_mk.jpg
STYLE/Coats,B2AAJ,http://neimanmarcus.scene7.com/ir/render/NeimanMarcusRender/NMB2AAJ_m_01?obj=base_color&amp;src=NMB2AAJ_01&amp;&amp;resmode=sharp2&amp;sharpen=1&amp;qlt=85&#44;1&amp;wid=400&amp;height=500
SHAPE/Quilted,B2AAJ,http://neimanmarcus.scene7.com/ir/render/NeimanMarcusRender/NMB2AAJ_m_01?obj=base_color&amp;src=NMB2AAJ_01&amp;&amp;resmode=sharp2&amp;sharpen=1&amp;qlt=85&#44;1&amp;wid=400&amp;height=500
STYLE/Coats,B2AJ5,http://www.neimanmarcus.com/product_assets/B/2/A/J/5/NMB2AJ5_mk.jpg
SHAPE/Puffer,B2AJ5,http://www.neimanmarcus.com/product_assets/B/2/A/J/5/NMB2AJ5_mk.jpg
